Date, UserID, Scenario, Branch, Variable, Action, NewValue, OldValue, ChangeID, ScenarioID, BranchID, VariableID, NewValue, OldValue
2015/01/03 11:29:51,AMA,,,FullExtentLeft,Area-wide setting changed,-117.866242105418,-127.37293658363,   15,0,0,835,-117.866242105418,-127.37293658363
2015/01/03 11:29:52,AMA,,,FullExtentRight,Area-wide setting changed,-110.82034312828,-73.0815039323844,   15,0,0,837,-110.82034312828,-73.0815039323844
2015/01/03 11:29:52,AMA,,,FullExtentBottom,Area-wide setting changed,34.9283960885138,26.6697433274021,   15,0,0,836,34.9283960885138,26.6697433274021
2015/01/03 11:31:52,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 12:37:37,AMA,,,FullExtentTop,Area-wide setting changed,42.2922251419665,41.9742950656514,   15,0,0,834,42.2922251419665,41.9742950656514
2015/01/03 12:37:37,AMA,,,FullExtentLeft,Area-wide setting changed,-115.302491103203,-117.866242105418,   15,0,0,835,-115.302491103203,-117.866242105418
2015/01/03 12:37:37,AMA,,,FullExtentRight,Area-wide setting changed,-108.896797153025,-110.82034312828,   15,0,0,837,-108.896797153025,-110.82034312828
2015/01/03 12:37:37,AMA,,,FullExtentBottom,Area-wide setting changed,36.5271005868063,34.9283960885138,   15,0,0,836,36.5271005868063,34.9283960885138
2015/01/03 12:37:50,AMA,,,FullExtentTop,Area-wide setting changed,43.5903561913999,42.2922251419665,   15,0,0,834,43.5903561913999,42.2922251419665
2015/01/03 12:37:50,AMA,,,FullExtentLeft,Area-wide setting changed,-112.985578381645,-115.302491103203,   15,0,0,835,-112.985578381645,-115.302491103203
2015/01/03 12:37:50,AMA,,,FullExtentRight,Area-wide setting changed,-109.843894469401,-108.896797153025,   15,0,0,837,-109.843894469401,-108.896797153025
2015/01/03 12:37:50,AMA,,,FullExtentBottom,Area-wide setting changed,40.4486722791555,36.5271005868063,   15,0,0,836,40.4486722791555,36.5271005868063
2015/01/03 12:37:53,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 12:39:37,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 12:41:48,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 12:46:10,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 12:48:01,AMA,Current Accounts,,,Delete River,0,0,   13,1,2,6,0,0
2015/01/03 12:48:51,AMA,Current Accounts,Blacksmith Fork,,Create River,,,   5,1,2,6,,
2015/01/03 12:48:51,AMA,Current Accounts,Below Blacksmith Fork Headflow,,Create River Reach,,,   5,1,3,16,,
2015/01/03 12:48:56,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 12:49:37,AMA,,,FullExtentTop,Area-wide setting changed,44.8545027220376,43.5903561913999,   15,0,0,834,44.8545027220376,43.5903561913999
2015/01/03 12:49:37,AMA,,,FullExtentLeft,Area-wide setting changed,-115.302491103203,-112.985578381645,   15,0,0,835,-115.302491103203,-112.985578381645
2015/01/03 12:49:37,AMA,,,FullExtentRight,Area-wide setting changed,-110.818505338078,-109.843894469401,   15,0,0,837,-110.818505338078,-109.843894469401
2015/01/03 12:49:37,AMA,,,FullExtentBottom,Area-wide setting changed,39.7299475618953,40.4486722791555,   15,0,0,836,39.7299475618953,40.4486722791555
2015/01/03 12:52:56,AMA,Current Accounts,East Fort Little Bear River,,Create River,,,   5,1,5,6,,
2015/01/03 12:52:57,AMA,Current Accounts,Below East Fort Little Bear River Headflow,,Create River Reach,,,   5,1,6,16,,
2015/01/03 12:53:52,AMA,Current Accounts,South Fork Little Bear River,,Create River,,,   5,1,7,6,,
2015/01/03 12:53:52,AMA,Current Accounts,Below South Fork Little Bear River Headflow,,Create River Reach,,,   5,1,8,16,,
2015/01/03 12:56:31,AMA,Current Accounts,Logan River,,Create River,,,   5,1,9,6,,
2015/01/03 12:56:31,AMA,Current Accounts,Below Logan River Headflow,,Create River Reach,,,   5,1,10,16,,
2015/01/03 12:57:52,AMA,Current Accounts,Bear,,Create River,,,   5,1,11,6,,
2015/01/03 12:57:53,AMA,Current Accounts,Below Bear Headflow,,Create River Reach,,,   5,1,12,16,,
2015/01/03 13:04:20,AMA,Current Accounts,Below Bear Headflow,,Delete River Reach,0,0,   13,1,12,16,0,0
2015/01/03 13:04:20,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches\Below Bear Headflow,,Delete Branch,,,   19,1,105,0,,
2015/01/03 13:04:20,AMA,Current Accounts,Bear,,Delete River,0,0,   13,1,11,6,0,0
2015/01/03 13:04:20,AMA,Current Accounts,Supply and Resources\River\Bear\Reservoirs,,Delete Branch,,,   19,1,96,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Run of River Hydro,,Delete Branch,,,   19,1,97,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Withdrawals,,Delete Branch,,,   19,1,98,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Diversions,,Delete Branch,,,   19,1,99,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Tributary Inflow,,Delete Branch,,,   19,1,100,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Flow Requirements,,Delete Branch,,,   19,1,101,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Reaches,,Delete Branch,,,   19,1,102,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Other Surface Inflow,,Delete Branch,,,   19,1,103,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear\Streamflow Gauges,,Delete Branch,,,   19,1,104,0,,
2015/01/03 13:04:21,AMA,Current Accounts,Supply and Resources\River\Bear,,Delete Branch,,,   19,1,95,0,,
